LOCATION,SUBURB,Reason Code,Audit Date
Eastbourne Road,ROSEBUD,ABC,Sep-2024
Eastfield Road,CROYDON,BCD,Jul-2024
Eaststone Avenue,WOLLERT,BCD,Jun-2024
Echuca-Kyabram Road,ECHUCA,BCD,May-2024
Echuca-Mooroopna Road,MOOROOPNA NORTH,BC,Aug-2024
Echuca-Mooroopna Road,UNDERA,BC,Aug-2024
Echuca-Mooroopna Road,ST GERMAINS,C,Aug-2024
Edenvale Boulevard,WOLLERT,BCD,Aug-2024
Edgar Street,PORTLAND,C,T
Edgars Road,LALOR,ABCD,Aug-2024
Edgars Road,EPPING,BC,Jan-2024
Edgars Road,WOLLERT,BCD,Jul-2024
Edithvale Road,CHELSEA HEIGHTS,AC,Jun-2024
Edward Road,CHIRNSIDE PARK,ABC,Jul-2024
Edwardes Street,RESERVOIR,BCD,Aug-2024
Edwards Road,JACKASS FLAT,ABCD,May-2024
Eighth Street,MILDURA,ABCD,Aug-2024
Eildon-Jamieson Road,EILDON,C,Apr-2024
Eildon-Jamieson Road,JAMIESON,C,Apr-2024
Elcho Road,LARA,BC,Aug-2024
Elder Street,WATSONIA,BC,Aug-2024
Elevation Boulevard,CRAIGIEBURN,ABC,Aug-2024
Eleventh Street,IRYMPLE,ABCD,Aug-2024
Eleventh Street,MILDURA,ABCD,Aug-2024
Elgar Road,BOX HILL SOUTH,C,Jun-2024
Elgar Road,BURWOOD,C,Jun-2024
Elizabeth Drive,SUNBURY,BC,Aug-2024
Elizabeth Street,COBURG,ABC,Aug-2024
Elizabeth Street,ARARAT,BC,T
Elizabeth Street,EDENHOPE,C,T
Ellscott Boulevard,MICKLEHAM,ABC,Aug-2024
Eltham-Yarra Glen Road,KANGAROO GROUND,ABCD,Aug-2024
Eltham-Yarra Glen Road,CHRISTMAS HILLS,AC,Aug-2024
Eltham-Yarra Glen Road,WATSONS CREEK,B,Aug-2024
Elvins Street,MANSFIELD,BCD,Apr-2024
Elwers Road,ROSEBUD,BCD,Sep-2024
Emily Street,SEYMOUR,ABCD,T
Emu Creek Road,STRATHFIELDSAYE,AC,May-2024
Emu Road,MAIDSTONE,BC,T
Epping Road,WOLLERT,ABCD,Aug-2024
Epping Road,EPPING,BCD,Aug-2024
Epping Road,WOODSTOCK,C,Aug-2024
Epsom Road,ASCOT VALE,C,Aug-2024
Epsom-Barnadown Road,ASCOT,BC,May-2024
Ernst Wanke Road,BERWICK,B,Apr-2024
Erskine Road,MACLEOD,AC,Aug-2024
Esplanade,BRIGHTON,ABCD,Mar-2024
Esplanade,MOUNT MARTHA,ABCD,Jul-2024
Esplanade,ALTONA,B,T
Essex Street,WEST FOOTSCRAY,C,T
Ester Street,GREENSBOROUGH,BCD,Aug-2024
Etiwanda Avenue,MILDURA,ABCD,Aug-2024
Eureka Street,BALLARAT EAST,ABC,Aug-2024
Euroa-Mansfield Road,EUROA,ABC,Apr-2024
Euroa-Mansfield Road,GOORAM,ABC,Apr-2024
Euroa-Mansfield Road,MERTON,C,Apr-2024
Euroa-Shepparton Road,EUROA,C,Apr-2024
Euroa-Shepparton Road,MIEPOLL,C,Aug-2024
Everleigh Drive,DIAMOND CREEK,BD,Aug-2024
Exford Road,EXFORD,ABCD,May-2024
Exford Road,MELTON SOUTH,C,May-2024
Eynesbury Road,EYNESBURY,BC,May-2024
Eyre Street,ECHUCA,C,May-2024
Fairbairn Road,SUNSHINE WEST,BCD,Jun-2024
Fairbank Road,CLAYTON SOUTH,ABCD,Mar-2024
Federation Way,BOWSER,ABC,May-2024
Fellmongers Road,BREAKWATER,ABCD,Aug-2024
Felltimber Creek Road,WODONGA,BC,May-2024
Ferntree Gully Road,FERNTREE GULLY,A,Mar-2024
Ferntree Gully Road,CLAYTON,ABCD,T
Ferntree Gully Road,WHEELERS HILL,ABCD,Nov-2023
Ferris Road,MELTON SOUTH,C,May-2024
Field Street,RYE,C,Sep-2024
Fifteenth Street,MILDURA,ABCD,Jun-2024
Fifteenth Street,IRYMPLE,AC,Aug-2024
Finch Street,MALVERN EAST,ABCD,Jun-2024
Findon Road,SOUTH MORANG,BC,Aug-2024
Findon Road,EPPING,BCD,Aug-2024
Finlayson Street,ROSANNA,B,Aug-2024
Fischer Street,TORQUAY,ABCD,Aug-2024
Fisken Street,BACCHUS MARSH,ABCD,Aug-2024
Fitzgerald Road,DERRIMUT,BCD,Jun-2024
Fitzgerald Road,SUNSHINE WEST,BCD,Jun-2024
Fitzroy Avenue,RED CLIFFS,ABCD,Mar-2024
Fitzsimons Lane,TEMPLESTOWE,AC,Jun-2024
Flaxen Hills Road,DOREEN,BC,Aug-2024
Flaxman Street,WARRNAMBOOL,ABCD,Nov-2023
Fletcher Street,ESSENDON,BCD,Aug-2024
Flora Avenue,MILDURA,ABCD,Aug-2024
Forest Red Gum Drive,MICKLEHAM,ABC,Aug-2024
Forrest Street,ALBION,BC,May-2024
Forrest Street,ARDEER,BC,May-2024
Fosters Road,KEILOR PARK,BCD,Jun-2024
Fourteenth Street,MILDURA,ABCD,Aug-2024
Fourteenth Street,IRYMPLE,C,Aug-2024
Frankston-Dandenong Road,FRANKSTON NORTH,ABCD,Jul-2024
Frankston-Dandenong Road,SEAFORD,ABCD,Sep-2024
Frankston-Dandenong Road,BANGHOLME,C,Aug-2024
Frankston-Dandenong Road,FRANKSTON,C,Sep-2024
Frankston-Flinders Road,BITTERN,ABC,Sep-2024
Frankston-Flinders Road,FRANKSTON SOUTH,ABCD,T
Frankston-Flinders Road,SOMERVILLE,ABCD,Sep-2024
Frankston-Flinders Road,TYABB,ABCD,Sep-2024
Frawley Road,HALLAM,ABC,Apr-2024
Fryers Road,HIGHTON,BCD,Aug-2024
Fullarton Road,KEILOR PARK,BCD,Jun-2024
Fulton Road,BLACKBURN SOUTH,ACD,Jun-2024
Furlong Road,ST ALBANS,BCD,May-2024
Furlong Road,SUNSHINE NORTH,BCD,Jun-2024
Fyansford-Gheringhap Road,GHERINGHAP,BC,Aug-2024
Gaffney Street,PASCOE VALE,C,Aug-2024
Gallaghers Road,GLEN WAVERLEY,C,Jun-2024
Gap Road,SUNBURY,ABC,Aug-2024
Garden Road,CLAYTON,ABC,Jun-2024
Garden Street,PORTLAND,C,T
Gardenia Street,HORSHAM,AC,T
Garnett Road,WHEELERS HILL,ACD,Jun-2024
Gateshead Drive,WANTIRNA SOUTH,BCD,Jul-2024
Gayview Drive,WODONGA WEST,ABCD,Jul-2024
Gear Avenue,MOUNT HELEN,BC,Aug-2024
Geelong Road,BROOKLYN,ABCD,T
Geelong Road,BANNOCKBURN,ABCD,Aug-2024
Geelong-Bacchus Marsh Road,BACCHUS MARSH,C,Aug-2024
Geelong-Bacchus Marsh Road,BALLIANG EAST,C,Aug-2024
Geelong-Ballan Road,BALLAN,ABC,Aug-2024
Geelong-Ballan Road,BEREMBOKE,ABC,Aug-2024
Geelong-Ballan Road,MOUNT WALLACE,ABC,Aug-2024
George Street,SANDRINGHAM,AC,Mar-2024
George Street,DONCASTER,C,Jan-2024
George Street,HAMILTON,C,May-2024
Gibsons Road,SALE,C,Dec-2023
Gilbert Road,RESERVOIR,ABCD,Aug-2024
Gilbert Road,PRESTON,BCD,Feb-2024
Gillespie Road,KINGS PARK,BCD,Jun-2024
Gillies Road,BALD HILLS,ABCD,Aug-2024
Gillies Road,MOUNT ROWAN,BC,Feb-2024
Gillies Road,ASCOT,BC,Aug-2024
Gillies Road,SULKY,BC,Aug-2024
Gillies Street,MARYBOROUGH,BCD,Aug-2024
Gisborne - Melton Road,KURUNJANG,BCD,May-2024
Gisborne Road,COIMADAI,ABCD,Aug-2024
Gisborne Road,BACCHUS MARSH,C,Aug-2024
Gisborne-Melton Road,TOOLERN VALE,ABC,May-2024
Gisborne-Melton Road,KURUNJANG,ABCD,May-2024
Gisborne-Melton Road,MELTON,BC,May-2024
Gisbourne Road,DARLEY,ABCD,Aug-2024
Gladesville Boulevard,PATTERSON LAKES,ACD,Mar-2024
Gladstone Road,DANDENONG NORTH,C,Aug-2024
Gladstone Street,MARYBOROUGH,C,Aug-2024
Glen Huntly Road,ELWOOD,BC,Jun-2024
Glen Iris Road,GLEN IRIS,ABCD,Jul-2024
Glen Katherine Drive,ST HELENA,B,Aug-2024
Glenbarry Road,CAMPBELLFIELD,BC,Aug-2024
Glencairn Drive,GREENVALE,BC,Aug-2024
Glenelg Highway,DUNKELD,ABC,May-2024
Glenelg Highway,LAKE BOLAC,AC,T
Glenelg Highway,WICKLIFFE,AC,T
Glenelg Highway,WARRAYURE,AC,May-2024
Glenelg Highway,SMYTHESDALE,BC,Aug-2024
Glenelg Highway,STREATHAM,C,T
Glenelg Highway,WESTMERE,C,T
Glenelg Highway,CASTERTON,C,T
Glenelg Highway,WILKIN,C,T
Glenelg Highway,CARRANBALLAC,C,Jan-2024
Glenelg Highway,GLENTHOMPSON,C,May-2024
Glenelg Highway,HAMILTON,C,May-2024
Glenelg Highway,WANNON,C,May-2024
Glenelg Highway,COLERAINE,C,Aug-2024
Glenelg Highway,SKIPTON,C,Aug-2024
Glenelg Highway,SMYTHES CREEK,C,Aug-2024
Glenelg Highway,PITTONG,C,Aug-2024
Glenfern Road,UPWEY,ABC,Jul-2024
Glenferrie Road,HAWTHORN,ACD,Jul-2024
Glenferrie Road,MALVERN,C,Jun-2024
Glengala Road,SUNSHINE WEST,BCD,Jun-2024
Glengarry West Road,GLENGARRY WEST,AC,Feb-2024
Glenrowan Myrtleford Road,MARKWOOD,C,May-2024
Glenrowan-Myrtleford Road,WHOROULY,ABC,May-2024
Glenrowan-Myrtleford Road,LACEBY,AC,May-2024
Glenroy Road,GLENROY,C,Aug-2024
Golf Course Road,HAVEN,C,T
Golf Links Road,BARWON HEADS,ABCD,Aug-2024
Golf Links Road,NARRE WARREN,B,Apr-2024
Golf Links Road,FRANKSTON,C,Sep-2024
Goodwin Street,BENALLA,BC,May-2024
Gordon Street,WODONGA,BCD,May-2024
Gordons Road,SOUTH MORANG,ABCD,Aug-2024
Gorge Road,SOUTH MORANG,AC,Aug-2024
Goulburn Valley Freeway,MANGALORE,AC,Aug-2024
Goulburn Valley Freeway,NAGAMBIE,C,Aug-2024
Goulburn Valley Freeway,WAHRING,C,Aug-2024
Goulburn Valley Highway,KIALLA WEST,ABCD,T
Goulburn Valley Highway,NUMURKAH,ABCD,Jul-2024
Goulburn Valley Highway,STRATHMERTON,ABCD,Jul-2024
Goulburn Valley Highway,WUNGHNU,ABCD,Jul-2024
Goulburn Valley Highway,YIELIMA,ABCD,Jul-2024
Goulburn Valley Highway,BUNDALONG,ABCD,Jul-2024
Goulburn Valley Highway,COBRAM,ABCD,Jul-2024
Goulburn Valley Highway,KATAMATITE,ABCD,Jul-2024
Goulburn Valley Highway,YARRAWONGA,ABCD,Jul-2024
Goulburn Valley Highway,SEYMOUR,ABCD,Aug-2024
Goulburn Valley Highway,NATHALIA,ABCD,Aug-2024
Goulburn Valley Highway,MOLESWORTH,AC,Aug-2024
Goulburn Valley Highway,KOONOOMOO,C,Apr-2024
Goulburn Valley Highway,EILDON,C,Apr-2024
Goulburn Valley Highway,KORIELLA,C,Apr-2024
Goulburn Valley Highway,HOMEWOOD,C,Aug-2024
Goulburn Valley Highway,TALLYGAROOPNA,C,Aug-2024
Goulburn Valley Hwy,SHEPPARTON NORTH,AC,Aug-2024
Gourlay Road,TAYLORS HILL,BC,May-2024
Gourlay Road,HILLSIDE,BCD,May-2024
Gower Street,PRESTON,BCD,Aug-2024
Goynes Road,EPSOM,ABCD,May-2024
Graham Road,KYVALLEY,CD,May-2024
Graham Street,PORT MELBOURNE,ABCD,Jun-2024
Graham Street,WONTHAGGI,BC,Sep-2024
Grampians Road,MOKEPILLY,AC,T
Grampians Road,HALLS GAP,C,T
Grandvue Boulevard,PAKENHAM,BC,Apr-2024
Grange Drive,SOUTH MORANG,BC,Aug-2024
Grange Road,TOORAK,ABC,Jun-2024
Grange Road,ALPHINGTON,AC,Aug-2024
Grano Street,ARARAT,B,T
Grants Road,WHITTLESEA,AC,Aug-2024
Grants Road,EDEN PARK,C,Aug-2024
Gravesend Street,COLAC,AC,Aug-2024
Gray Street,SWAN HILL,C,T
Graydens Road,HASTINGS,ABC,Sep-2024
Great Alpine Road,SMOKO,ABC,Mar-2024
Great Alpine Road,BOWMANS FOREST,ABC,Apr-2024
Great Alpine Road,EUROBIN,ABC,Apr-2024
Great Alpine Road,POREPUNKAH,ABCD,Apr-2024
Great Alpine Road,EAST WANGARATTA,ACD,May-2024
Great Alpine Road,TARRAWINGEE,ACD,May-2024
Great Alpine Road,OVENS,B,Apr-2024
Great Alpine Road,DOCTORS FLAT,BC,Dec-2023
Great Alpine Road,BRIGHT,BC,Apr-2024
Great Alpine Road,HARRIETVILLE,BCD,Mar-2024
Great Alpine Road,GRANITE ROCK,C,Dec-2023
Great Alpine Road,OMEO,C,Dec-2023
Great Alpine Road,SARSFIELD,C,Dec-2023
Great Alpine Road,SWIFTS CREEK,C,Dec-2023
Great Alpine Road,WISELEIGH,C,Dec-2023
Great Alpine Road,GAPSTED,CD,T
Great Ocean  Road,ANGLESEA,ABCD,Aug-2024
Great Ocean  Road,APOLLO BAY,C,Aug-2024
Great Ocean Road,LORNE,ABC,Aug-2024
Great Ocean Road,PORT CAMPBELL,ABCD,Nov-2023
Great Ocean Road,WONGARRA,AC,Aug-2024
Great Ocean Road,PETERBOROUGH,C,Nov-2023
Great Ocean Road,SKENES CREEK,C,Aug-2024
Greaves Road,NARRE WARREN SOUTH,B,Apr-2024
Green Gully Road,KEILOR DOWNS,ABCD,T
Green Street,NOBLE PARK,B,Aug-2024
Greenhalghs Road,BUNKERS HILL,BC,Aug-2024
Greensborough Road,GREENSBOROUGH,ABCD,Aug-2024
Greenvale Drive,GREENVALE,BC,Aug-2024
Greenwood Drive,BUNDOORA,BCD,Aug-2024
Greigs Road,STRATHTULLOH,ABCD,May-2024
Greythorn Road,BALWYN NORTH,C,Jun-2024
Grieve Parade,ALTONA NORTH,ABCD,T
Grigg Road,KOONDROOK,C,T
Grubb Road,OCEAN GROVE,BC,Aug-2024
Guthridge Parade,SALE,C,Dec-2023
Guys Hill Road,STRATHFIELDSAYE,ABCD,May-2024
Hall Road,CARRUM DOWNS,ABC,Sep-2024
Hallam South Road,HAMPTON PARK,AC,Apr-2024
Hamilton  Highway,WINGEEL,AC,Aug-2024
Hamilton Highway,CRESSY,ABC,Aug-2024
Hamilton Highway,BERRYBANK,ABCD,Nov-2023
Hamilton Highway,MURGHEBOLUC,AC,Aug-2024
Hamilton Highway,STONEHAVEN,AC,Aug-2024
Hamilton Highway,LISMORE,C,Nov-2023
Hamilton Highway,MORTLAKE,C,Nov-2023
Hamilton Highway,PENSHURST,C,May-2024
Hamilton Street,PETERBOROUGH,ABCD,T
Hamilton Street,BROADFORD,ABCD,T
Hamilton-Natimuk Road,CAVENDISH,C,May-2024
Hampden Road,ARMADALE,CD,Jun-2024
Hampshire Road,SUNSHINE,BCD,Jun-2024
Hampton Street,BRIGHTON,ABCD,Mar-2024
Hanlon Parade,PORTLAND,C,T
Hanson Road,CRAIGIEBURN,C,Aug-2024
Harcourt Road,BORONIA,BC,Feb-2024
Harding Street,COBURG,BCD,Aug-2024
Hargraves Street,CASTLEMAINE,ABCD,Aug-2024
Hargreaves Street,GOLDEN SQUARE,BCD,May-2024
Harold Road,SPRINGVALE SOUTH,C,Aug-2024
Harris Street,WARRNAMBOOL,C,Nov-2023
Hatchlands Drive,DEER PARK,BCD,Jun-2024
Hattah-Robinvale Road,HATTAH,C,Aug-2024
Haverbrack Drive,MULGRAVE,ABCD,Jun-2024
Havilah Road,LONG GULLY,BCD,May-2024
Hawkins Street,SHEPPARTON,BC,Aug-2024
Hawthorn Road,CAULFIELD SOUTH,B,Jun-2024
Hazel Glen Drive,MERNDA,C,Aug-2024
Heads Road,DONVALE,C,Jan-2024
Healesville-Kinglake Road,CHUM CREEK,ABCD,Jul-2024
Healesville-Koo Wee Rup Road,WOORI YALLOCK,ABC,May-2024
Healesville-Koo Wee Rup Road,HEALESVILLE,ABC,Jul-2024
Healesville-Koo Wee Rup Road,YELLINGBO,ABC,Jul-2024
Heathcote-Nagambie Road,GRAYTOWN,C,Aug-2024
Heathcote-Nagambie Road,NAGAMBIE,C,Aug-2024
Heatherdale Road,MITCHAM,C,Jun-2024
Heatherton Road,CLAYTON SOUTH,AC,Jun-2024
Heatherton Road,ENDEAVOUR HILLS,BC,Apr-2024
Heaths Road,HOPPERS CROSSING,ABCD,Apr-2024
Heaths Road,WERRIBEE,C,T
Hedderwick Street,ESSENDON,C,Aug-2024
Heidelberg Road,CLIFTON HILL,BC,Aug-2024
Heidelberg-Kinglake Road,COTTLES BRIDGE,ABCD,Aug-2024
Heidelberg-Warrandyte Road,WARRANDYTE,C,Jun-2024
Heinz Lane,INVERMAY PARK,BC,Aug-2024
Hendy Main Road,MORIAC,ABC,Aug-2024
Hensley Park Road,HAMILTON,C,May-2024
Henty Highway,BRANXHOLME,ABC,May-2024
Henty Highway,HAMILTON,ABC,May-2024
Henty Highway,BRIMPAEN,C,T
Henty Highway,BYRNEVILLE,C,T
Henty Highway,HAVEN,C,T
Henty Highway,RIVERSIDE,C,T
Henty Highway,WONWONDAH NORTH,C,T
Henty Highway,MOORALLA,C,May-2024
Henty Street,RESERVOIR,ABCD,Aug-2024
Hertford Road,SUNSHINE,BC,May-2024
Heyers Road,GROVEDALE,ABCD,Aug-2024
Heyington Avenue,THOMASTOWN,BCD,Aug-2024
Hidden Valley Boulevard,WALLAN,BC,Aug-2024
High Street,LEARMONTH,ABCD,T
High Street,KANGAROO FLAT,ABCD,Oct-2023
High Street,WINDSOR,ABCD,Jun-2024
High Street,BROADFORD,ABCD,Aug-2024
High Street,SEYMOUR,ABCD,Aug-2024
High Street,ARARAT,AC,T
High Street,GOLDEN SQUARE,AC,May-2024
High Street,RESERVOIR,AC,Aug-2024
High Street,MELTON,BCD,May-2024
High Street,MELTON WEST,BCD,May-2024
High Street,EPPING,BCD,Aug-2024
High Street,LALOR,BCD,Aug-2024
High Street,GLEN IRIS,C,Jun-2024
High Street,KEW,C,Jun-2024
High Street,TEMPLESTOWE,C,Jun-2024
High Street,BEAUFORT,CD,Aug-2024
High Street Road,GLEN WAVERLEY,ABCD,T
High Street Road,WANTIRNA SOUTH,AC,Jul-2024
High Street Road,MOUNT WAVERLEY,C,Jun-2024
Highbury Road,GLEN WAVERLEY,C,Jun-2024
Highbury Road,MOUNT WAVERLEY,C,Jun-2024
Highett Road,HIGHETT,ABCD,Jun-2024
Highlander Drive,CRAIGIEBURN,ABC,Aug-2024
Highlands Road,SEYMOUR,ABC,Aug-2024
Highpark Drive,WOLLERT,BCD,Aug-2024
Highton Lane,MANSFIELD,BC,Apr-2024
Hillcrest Avenue,KEW EAST,ABCD,Jul-2024
Hilma Street,SUNSHINE WEST,C,May-2024
Hodder Street,BRIGHTON EAST,AC,Mar-2024
Hodgins Road,HASTINGS,BCD,Sep-2024
Hoffmans Road,NIDDRIE,C,Aug-2024
Holden Road,DIGGERS REST,C,May-2024
Holdsworth Road,NORTH BENDIGO,ABCD,May-2024
Holdsworth Road,WHITE HILLS,ABCD,May-2024
Holmes Street,BRUNSWICK,C,Aug-2024
Homestead Road,BERWICK,B,Apr-2024
Hopetoun Road,TOORAK,BC,Jun-2024
Hopkins Highway,GRASSMERE,BC,Nov-2023
Hopkins Highway,PURNIM,C,Nov-2023
Hopkins Road,TRUGANINA,ABCD,Aug-2024
Horace Street,MALVERN,BC,Jun-2024
Horseshoe Bend Road,MOUNT DUNEED,BC,Aug-2024
Hosie Road,SHEPPARTON EAST,B,Aug-2024
Hotham Road,SORRENTO,ABCD,Sep-2024
Hotham Road,PORTSEA,C,Sep-2024
Hotham Street,RIPPONLEA,ABCD,Jun-2024
Howe Parade,GARDEN CITY,B,Jun-2024
Howitt Street,WARRAGUL,ACD,T
Howitt Street,BALLARAT NORTH,BCD,Aug-2024
Hughes Parade,RESERVOIR,ABC,Aug-2024
Hughes Street,OUYEN,C,Aug-2024
Hull Road,CROYDON,AC,Jul-2024
Hume Drive,TAYLORS HILL,BC,May-2024
Hume Drive,SYDENHAM,BC,May-2024
Hume Drive,CAROLINE SPRINGS,BCD,May-2024
Hume Freeway,BORALMA,ABC,Apr-2024
Hume Freeway,BOWSER,ABC,May-2024
Hume Freeway,TALLAROOK,ABC,Aug-2024
Hume Freeway,BARNAWARTHA NORTH,ABCD,May-2024
Hume Freeway,WODONGA,ABCD,Aug-2024
Hume Freeway,WANGARATTA,AC,Apr-2024
Hume Freeway,VIOLET TOWN,AC,Apr-2024
Hume Freeway,LOCKSLEY,AC,Aug-2024
Hume Freeway,CHILTERN,BC,May-2024
Hume Freeway,AVENEL,C,Aug-2024
Hume Freeway,EUROA,C,Aug-2024
Humffray Street N,BROWN HILL,ABCD,T
Humffray Street North,BALLARAT,C,Aug-2024
Humphries Road,FRANKSTON,C,Sep-2024
Huntingdale Road,OAKLEIGH SOUTH,ABCD,Jun-2024
Huntingdale Road,MOUNT WAVERLEY,C,Jun-2024
Huon Creek Road,WODONGA,C,May-2024
Hurd Street,PORTLAND,C,T
Hutchison Street,SALE,C,Dec-2023
Hutton Road,KEYSBOROUGH,C,Aug-2024
Huxley Avenue,MULGRAVE,BD,Jun-2024
Hyland Highway,FLYNNS CREEK UPPER,ABC,Feb-2024
Hyland Highway,TRARALGON,ABC,Feb-2024
Hyland Highway,YARRAM,C,Dec-2023
Ibbotson Street,ST LEONARDS,BCD,Aug-2024
Inglis Road,BERWICK,BC,Apr-2024
Inglis Street,BALLAN,ABCD,Aug-2024
Inglis Street,GOLDEN SQUARE,CD,May-2024
Inkerman Street,MARYBOROUGH,ABCD,Aug-2024
Inverloch-Venus Bay Road,INVERLOCH,B,Sep-2024
Inverloch-Venus Bay Road,POUND CREEK,BC,Sep-2024
Ironbark Road,YARRAMBAT,ACD,Aug-2024
Jacaranda Street,RED CLIFFS,ABCD,Jun-2024
Jacksons Road,NOBLE PARK NORTH,BC,Aug-2024
James Mirams Drive,ROXBURGH PARK,AC,Aug-2024
Jardin Road,WOLLERT,BCD,Jun-2024
Jasper Road,BENTLEIGH,ABC,Mar-2024
Jasper Road,MCKINNON,BC,Mar-2024
Jeeralang North Road,HAZELWOOD NORTH,ABC,Feb-2024
Jetty Road,ROSEBUD,C,Sep-2024
JOBS GULLY Road,JACKASS FLAT,CD,May-2024
John Allan Road,WYUNA,CD,May-2024
Johnson Street,RESERVOIR,BC,Aug-2024
Jones Road,SOMERVILLE,BC,Sep-2024
Jukes Road,FAWKNER,ABC,Aug-2024
Kangaroo Ground-St Andrews Road,SMITHS GULLY,A,Aug-2024
Kangaroo Ground-St Andrews Road,KANGAROO GROUND,AC,Aug-2024
Kangaroo Ground-St Andrews Road,PANTON HILL,AC,Aug-2024
Kangaroo Ground-Warrandyte Road,KANGAROO GROUND,BC,Aug-2024
Kangaroo Road,MURRUMBEENA,B,Mar-2024
Karadoc Avenue,IRYMPLE,BC,Aug-2024
Karingal Drive,FRANKSTON,ABC,Sep-2024
Karinie Street,SWAN HILL,C,Aug-2024
Karook Street,COBRAM,ABCD,Apr-2024
Kars Street,FRANKSTON,C,Sep-2024
Katamatite Road,CONGUPNA,C,Aug-2024
Katamatite-Shepparton Road,TALLYGAROOPNA,C,Aug-2024
Keilor Park Drive,KEILOR PARK,ABCD,May-2024
Kelvinside Road,NOBLE PARK,BC,Aug-2024
Kenmare Street,WATSONIA,C,Aug-2024
Kennedy Street,CASTLEMAINE,ABCD,Aug-2024
Kensington Road,KENSINGTON,ABC,Aug-2024
Kensington Road,LEOPOLD,BC,Aug-2024
Kent Street,ASCOT VALE,BC,Aug-2024
Keon Parade,KEON PARK,AC,Aug-2024
Kerang-Koondrook Road,TEAL POINT,C,T
Kerang-Murrabit Road,KERANG,BC,T
Kerang-Murrabit Road,WESTBY,BC,T
Kerang-Quambatook Road,KERANG,BC,T
Kerferd Road,ALBERT PARK,ABC,Jun-2024
Keys Road,MOORABBIN EAST,C,Jun-2024
Kialla Lakes Drive,KIALLA,ABCD,Aug-2024
Kiewa East Road,KIEWA,ABCD,May-2024
Kiewa Valley  Highway,DEDERANG,ABCD,T
Kiewa Valley  Highway,TAWONGA,ABCD,Mar-2024
Kiewa Valley  Highway,KERGUNYAH,ABCD,May-2024
Kiewa Valley Highway,KIEWA,ABC,May-2024
Kiewa Valley Highway,MOUNT BEAUTY,ABCD,Mar-2024
Kiewa Valley Highway,TAWONGA,ABCD,Mar-2024
Kiewa Valley Highway,TAWONGA SOUTH,ABCD,Mar-2024
Kiewa Valley Highway,BARANDUDA,ABCD,Aug-2024
Kiewa Valley Highway,RUNNING CREEK,AC,Mar-2024
Kiewa Valley Highway,BANDIANA,AC,May-2024
Kiewa Valley Highway,DEDERANG,BC,Mar-2024
Kilby Road,KEW EAST,ACD,Jun-2024
Kilmore - Lancefield Road,KILMORE,ABCD,T
Kilmore-Epping Road,WALLAN,ABC,Aug-2024
